id,title,rating,review_count,review_url,address
0,Switchgrass Outfitters & Airboat Tours,5 of 5 bubbles,308 reviews,https://www.tripadvisor.com/Attraction_Review-g34134-d3646641-Reviews-Switchgrass_Outfitters_Airboat_Tours-Christmas_Florida.html#REVIEWS,"|||1320 Cupid Ave, Christmas"
1,Switchgrass Outfitters & Airboat Tours,5 of 5 bubbles,308 reviews,https://www.tripadvisor.com/Attraction_Review-g34134-d3646641-Reviews-Switchgrass_Outfitters_Airboat_Tours-Christmas_Florida.html#REVIEWS,"|||1320 Cupid Ave, Christmas"
2,Disney's Animal Kingdom Theme Park,5 of 5 bubbles,"34,656 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d102814-Reviews-Disney_s_Animal_Kingdom_Theme_Park-Orlando_Florida.html#REVIEWS,"|||2901 Osceola Pkwy, Orlando"
3,Redrum Sportfishing,5 of 5 bubbles,649 reviews,https://www.tripadvisor.com/Attraction_Review-g152515-d639404-Reviews-Redrum_Sportfishing-Cabo_San_Lucas_Los_Cabos_Baja_California.html#REVIEWS,"|||Blvd Marina Cabo Plaza, Cabo San Lucas"
4,Get Up And Go Kayaking - Rock Springs,5 of 5 bubbles,"1,687 reviews",https://www.tripadvisor.com/Attraction_Review-g29171-d12278155-Reviews-Get_Up_And_Go_Kayaking_Rock_Springs-Apopka_Florida.html#REVIEWS,"|||5722 Baptist Camp Rd, Apopka"
5,Pirate's Cove Adventure Golf,5 of 5 bubbles,305 reviews,https://www.tripadvisor.com/Attraction_Review-g34352-d1951180-Reviews-Pirate_s_Cove_Adventure_Golf-Kissimmee_Florida.html#REVIEWS,"|||2845 Florida Plaza Blvd, Kissimmee"
6,House of Blues,5 of 5 bubbles,"1,083 reviews",https://www.tripadvisor.com/Attraction_Review-g34515-d607341-Reviews-House_of_Blues-Orlando_Florida.html#REVIEWS,"|||1490 E Buena Vista Dr, Orlando"
7,The Great Magic Hall,5 of 5 bubbles,430 reviews,https://www.tripadvisor.com/Attraction_Review-g34352-d8353009-Reviews-The_Great_Magic_Hall-Kissimmee_Florida.html#REVIEWS,"|||5770 W Irlo Bronson Memorial Hwy, Kissimmee"
8,Howl at the Moon Orlando,5 of 5 bubbles,492 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d1458279-Reviews-Howl_at_the_Moon_Orlando-Orlando_Florida.html#REVIEWS,"|||8815 International Dr, Orlando"
9,Dollywood,5 of 5 bubbles,"18,438 reviews",https://www.tripadvisor.com/Attraction_Review-g55270-d103537-Reviews-Dollywood-Pigeon_Forge_Tennessee.html#REVIEWS,"|||2700 Dollywood Parks Blvd, Pigeon Forge"
10,Exploria Stadium,5 of 5 bubbles,89 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d12318102-Reviews-Exploria_Stadium-Orlando_Florida.html#REVIEWS,"|||655 W Church St, Orlando"
11,The Orange County Regional History Center,5 of 5 bubbles,170 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d144055-Reviews-The_Orange_County_Regional_History_Center-Orlando_Florida.html#REVIEWS,"|||65 E Central Blvd, Orlando"
12,Florida Ski School,5 of 5 bubbles,258 reviews,https://www.tripadvisor.com/Attraction_Review-g34743-d4437633-Reviews-Florida_Ski_School-Windermere_Florida.html#REVIEWS,"|||10900 Chase Rd, Windermere"
13,Orly Tours,5 of 5 bubbles,124 reviews,https://www.tripadvisor.com/Attraction_Review-g309253-d13430143-Reviews-Orly_Tours-Tamarindo_Province_of_Guanacaste.html#REVIEWS,|||Tamarindo
