SiteSurveyID,SiteZone,SiteHabitat
2025.1.ANU.1251.R,Forereef,SPGR_LR
2025.1.ANU.1252.R,Forereef,CONT_LR
2025.1.ANU.1253.R,Mid Channel,ISOL_MR
2025.1.ANU.1254.R,Mid Channel,ISOL_MR
2025.1.ANU.1255.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1256.R,Mid Channel,ISOL_MR
2025.1.ANU.1257.R,Mid Channel,ISOL_MR
2025.1.ANU.1258.R,Forereef,SPGR_LR
2025.1.ANU.1259.R,Forereef,SPGR_LR
2025.1.ANU.1260.R,Forereef,SPGR_LR
2025.1.ANU.1261.R,Forereef,SPGR_LR
2025.1.ANU.1262.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1263.R,Forereef,CONT_LR
2025.1.ANU.1264.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1265.R,Forereef,SPGR_LR
2025.1.ANU.1266.R,Forereef,CONT_LR
2025.1.ANU.1267.R,Forereef,SPGR_LR
2025.1.ANU.1268.R,Mid Channel,ISOL_MR
2025.1.ANU.1269.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1270.R,Forereef,CONT_LR
2025.1.ANU.1271.R,Forereef,SPGR_HR
2025.1.ANU.1273.R,Forereef,CONT_LR
2025.1.ANU.1274.R,Forereef,ISOL_LR
2025.1.ANU.1275.R,Mid Channel,ISOL_MR
2025.1.ANU.1277.R,Mid Channel,ISOL_MR
2025.1.ANU.1278.R,Inshore,ISOL_MR
2025.1.ANU.1292.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1293.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1297.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1301.R,Mid Channel,ISOL_MR
2025.1.ANU.1306.R,Forereef,CONT_LR
2025.1.ANU.1310.R,Forereef,CONT_LR
2025.1.ANU.1311.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1312.R,Forereef,SPGR_LR
2025.1.ANU.1313.R,Forereef,CONT_LR
2025.1.ANU.1316.R,Forereef,CONT_LR
2025.1.ANU.1317.R,Mid Channel,ISOL_MR
2025.1.ANU.1319.R,Forereef,CONT_LR
2025.1.ANU.1320.R,Forereef,ISOL_LR
2025.1.ANU.1321.R,Forereef,CONT_LR
2025.1.ANU.1322.R,Forereef,SPGR_LR
2025.1.ANU.1323.R,Forereef,CONT_LR
2025.1.ANU.1324.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1325.R,Mid Channel,ISOL_MR
2025.1.ANU.1326.R,Mid Channel,ISOL_MR
2025.1.ANU.1327.R,Mid Channel,ISOL_MR
2025.1.ANU.1328.R,Mid Channel,ISOL_MR
2025.1.ANU.1329.R,Forereef,ISOL_LR
2025.1.ANU.1330.R,Mid Channel,ISOL_MR
2025.1.ANU.1331.R,Mid Channel,ISOL_MR
2025.1.ANU.1332.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1333.R,Mid Channel,ISOL_MR
2025.1.ANU.1334.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1335.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1336.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1337.R,Forereef,SPGR_LR
2025.1.ANU.1338.R,Forereef,ISOL_LR
2025.1.ANU.1339.R,Forereef,SPGR_LR
2025.1.ANU.1340.R,Mid Channel,ISOL_MR
2025.1.ANU.1341.R,Forereef,CONT_LR
2025.1.ANU.1342.R,Forereef,CONT_LR
2025.1.ANU.1343.R,Mid Channel,ISOL_MR
2025.1.ANU.1344.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1345.R,Forereef,SPGR_LR
2025.1.ANU.1346.R,Forereef,SPGR_LR
2025.1.ANU.1347.R,Forereef,SPGR_LR
2025.1.ANU.1348.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1349.R,Forereef,SPGR_LR
2025.1.ANU.1350.R,Mid Channel,ISOL_MR
2025.1.ANU.1351.R,Forereef,SPGR_HR
2025.1.ANU.1352.R,Forereef,SPGR_LR
2025.1.ANU.1353.R,Forereef,CONT_LR
2025.1.ANU.1354.R,Inshore,ISOL_MR
2025.1.ANU.1355.R,Inshore,ISOL_MR
2025.1.ANU.1356.R,Forereef,SPGR_LR
2025.1.ANU.1357.R,Inshore,ISOL_MR
2025.1.ANU.1358.R,Inshore,ISOL_MR
2025.1.ANU.1359.R,Inshore,ISOL_MR
2025.1.ANU.1360.R,Inshore,ISOL_MR
2025.1.ANU.1361.R,Forereef,SPGR_LR
2025.1.ANU.1362.R,Inshore,ISOL_MR
2025.1.ANU.1363.R,Inshore,ISOL_MR
2025.1.ANU.1364.R,Forereef,SPGR_LR
2025.1.ANU.1365.R,Inshore,ISOL_MR
2025.1.ANU.1366.R,Forereef,CONT_LR
2025.1.ANU.1367.R,Inshore,ISOL_MR
2025.1.ANU.1369.R,Inshore,ISOL_MR
2025.1.ANU.1370.R,Inshore,ISOL_MR
2025.1.ANU.1371.R,Inshore,ISOL_MR
2025.1.ANU.1372.R,Inshore,ISOL_MR
2025.1.ANU.1373.R,Forereef,SPGR_LR
2025.1.ANU.1374.R,Inshore,ISOL_MR
2025.1.ANU.1376.R,Inshore,ISOL_MR
2025.1.ANU.1377.R,Inshore,ISOL_MR
2025.1.ANU.1379.R,Inshore,ISOL_MR
2025.1.ANU.1380.R,Inshore,ISOL_MR
2025.1.ANU.1381.R,Forereef,SPGR_LR
2025.1.ANU.1382.R,Inshore,ISOL_MR
2025.1.ANU.1383.R,Inshore,ISOL_MR
2025.1.ANU.1384.R,Inshore,ISOL_MR
2025.1.ANU.1385.R,Forereef,SPGR_LR
2025.1.ANU.1386.R,Inshore,ISOL_MR
2025.1.ANU.1387.R,Inshore,ISOL_MR
2025.1.ANU.1388.R,Forereef,SPGR_LR
2025.1.ANU.1389.R,Inshore,ISOL_MR
2025.1.ANU.1390.R,Inshore,ISOL_MR
2025.1.ANU.1392.R,Inshore,ISOL_MR
2025.1.ANU.1393.R,Mid Channel,ISOL_MR
2025.1.ANU.1394.R,Forereef,CONT_LR
2025.1.ANU.1395.R,Mid Channel,ISOL_MR
2025.1.ANU.1396.R,Forereef,SPGR_LR
2025.1.ANU.1397.R,Forereef,SPGR_LR
2025.1.ANU.1398.R,Mid Channel,ISOL_MR
2025.1.ANU.1399.R,Mid Channel,ISOL_MR
2025.1.ANU.1400.R,Forereef,CONT_LR
2025.1.ANU.1402.R,Mid Channel,ISOL_MR
2025.1.ANU.1403.R,Forereef,SPGR_LR
2025.1.ANU.1404.R,Forereef,CONT_LR
2025.1.ANU.1406.R,Forereef,SPGR_LR
2025.1.ANU.1407.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1410.R,Forereef,SPGR_LR
2025.1.ANU.1411.R,Forereef,SPGR_LR
2025.1.ANU.1412.R,Forereef,SPGR_LR
2025.1.ANU.1413.R,Forereef,CONT_LR
2025.1.ANU.1414.R,Forereef,SPGR_LR
2025.1.ANU.1415.R,Forereef,SPGR_LR
2025.1.ANU.1416.R,Forereef,SPGR_LR
2025.1.ANU.1417.R,Forereef,SPGR_LR
2025.1.ANU.1418.R,Inshore,ISOL_MR
2025.1.ANU.1419.R,Inshore,ISOL_MR
2025.1.ANU.1420.R,Mid Channel,ISOL_MR
2025.1.ANU.1421.R,Forereef,SPGR_LR
2025.1.ANU.1422.R,Forereef,CONT_LR
2025.1.ANU.1423.R,Inshore,ISOL_MR
2025.1.ANU.1424.R,Forereef,CONT_LR
2025.1.ANU.1425.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1426.R,Forereef,CONT_LR
2025.1.ANU.1427.R,Mid Channel,ISOL_MR
2025.1.ANU.1428.R,Mid Channel,ISOL_MR
2025.1.ANU.1429.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1430.R,Forereef,CONT_LR
2025.1.ANU.1431.R,Forereef,SPGR_LR
2025.1.ANU.1432.R,Forereef,SPGR_LR
2025.1.ANU.1433.R,Forereef,SPGR_LR
2025.1.ANU.1434.R,Inshore,ISOL_MR
2025.1.ANU.1435.R,Inshore,ISOL_MR
2025.1.ANU.1436.R,Inshore,ISOL_MR
2025.1.ANU.1437.R,Forereef,CONT_LR
2025.1.ANU.1439.R,Inshore,ISOL_MR
2025.1.ANU.1440.R,Inshore,ISOL_MR
2025.1.ANU.1441.R,Forereef,CONT_LR
2025.1.ANU.1442.R,Mid Channel,ISOL_MR
2025.1.ANU.1443.R,Mid Channel,ISOL_MR
2025.1.ANU.1444.R,Mid Channel,ISOL_MR
2025.1.ANU.1446.R,Mid Channel,ISOL_MR
2025.1.ANU.1449.R,Forereef,SPGR_LR
2025.1.ANU.1450.R,Forereef,SPGR_LR
2025.1.ANU.1451.R,Forereef,SPGR_LR
2025.1.ANU.1452.R,Forereef,SPGR_LR
2025.1.ANU.1453.R,Inshore,ISOL_MR
2025.1.ANU.1454.R,Inshore,ISOL_MR
2025.1.ANU.1455.R,Inshore,ISOL_MR
2025.1.ANU.1456.R,Inshore,ISOL_MR
2025.1.ANU.1457.R,Inshore,ISOL_MR
2025.1.ANU.1458.R,Inshore,ISOL_MR
2025.1.ANU.1460.R,Inshore,ISOL_MR
2025.1.ANU.1461.R,Forereef,SPGR_LR
2025.1.ANU.1462.R,Mid Channel,ISOL_MR
2025.1.ANU.1463.R,Forereef,SPGR_LR
2025.1.ANU.1466.R,Mid Channel,ISOL_MR
2025.1.ANU.1467.R,Forereef,SPGR_LR
2025.1.ANU.1468.R,Forereef,CONT_LR
2025.1.ANU.1469.R,Mid Channel,ISOL_MR
2025.1.ANU.1475.R,Forereef,CONT_LR
2025.1.ANU.1478.R,Forereef,CONT_LR
2025.1.ANU.1479.R,Inshore,ISOL_MR
2025.1.ANU.1480.R,Inshore,ISOL_MR
2025.1.ANU.1481.R,Inshore,ISOL_MR
2025.1.ANU.1482.R,Inshore,ISOL_MR
2025.1.ANU.1483.R,Inshore,ISOL_MR
2025.1.ANU.1484.R,Inshore,ISOL_MR
2025.1.ANU.1487.R,Inshore,ISOL_MR
2025.1.ANU.1505.R,Inshore,ISOL_MR
2025.1.ANU.1511.R,Mid Channel,ISOL_MR
2025.1.ANU.1516.R,Inshore,ISOL_MR
2025.1.ANU.1517.R,Mid Channel,ISOL_MR
2025.1.ANU.1518.R,Inshore,ISOL_MR
2025.1.ANU.1519.R,Mid Channel,ISOL_MR
2025.1.ANU.1521.R,Mid Channel,ISOL_MR
2025.1.ANU.1523.R,Mid Channel,ISOL_MR
2025.1.ANU.1524.R,Inshore,ISOL_MR
2025.1.ANU.1526.R,Inshore,ISOL_MR
2025.1.ANU.1527.R,Inshore,ISOL_MR
2025.1.ANU.1528.R,Mid Channel,ISOL_MR
2025.1.ANU.1530.R,Mid Channel,ISOL_MR
2025.1.ANU.1532.R,Mid Channel,ISOL_MR
2025.1.ANU.1534.R,Mid Channel,ISOL_MR
2025.1.ANU.1535.R,Forereef,CONT_LR
2025.1.ANU.1536.R,Mid Channel,ISOL_MR
2025.1.ANU.1537.R,Forereef,CONT_LR
2025.1.ANU.1538.R,Forereef,SPGR_LR
2025.1.ANU.1539.R,Mid Channel,ISOL_MR
2025.1.ANU.1541.R,Mid Channel,ISOL_MR
2025.1.ANU.1542.R,Forereef,CONT_LR
2025.1.ANU.1543.R,Forereef,SPGR_LR
2025.1.ANU.1545.R,Forereef,SPGR_LR
2025.1.ANU.1546.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1548.R,Forereef,SPGR_LR
2025.1.ANU.1549.R,Offshore Patch Reef,ISOL_MR
2025.1.ANU.1550.R,Forereef,SPGR_LR
2025.1.ANU.1551.R,Forereef,SPGR_HR
2025.1.ANU.1552.R,Forereef,SPGR_LR
2025.1.ANU.1553.R,Forereef,CONT_LR
2025.1.ANU.1556.R,Forereef,SPGR_LR
2025.1.ANU.1562.R,Bank,CONT_LR
2025.1.ANU.1563.R,Bank,CONT_LR
2025.1.ANU.1564.R,Bank,CONT_LR
2025.1.ANU.1565.R,Bank,CONT_LR
2025.1.ANU.1566.R,Bank,CONT_MR
2025.1.ANU.1567.R,Bank,CONT_MR
2025.1.ANU.1568.R,Bank,CONT_LR
2025.1.ANU.1569.R,Bank,CONT_LR
2025.1.ANU.1570.R,Bank,CONT_LR
2025.1.ANU.1571.R,Bank,CONT_LR
2025.1.ANU.1573.R,Bank,CONT_LR
2025.1.ANU.1574.R,Bank,CONT_LR
2025.1.ANU.1575.R,Bank,CONT_LR
2025.1.ANU.1579.R,Forereef,ISOL_LR
2025.1.ANU.1585.R,Forereef,SPGR_HR
2025.1.ANU.1586.R,Forereef,CONT_LR
2025.1.ANU.1587.R,Forereef,SPGR_LR
2025.1.ANU.1588.R,Forereef,SPGR_LR
2025.1.ANU.1589.R,Forereef,CONT_LR
2025.1.ANU.1590.R,Forereef,CONT_LR
2025.1.ANU.1594.R,Forereef,SPGR_LR
2025.1.ANU.1597.R,Forereef,CONT_MR
2025.1.ANU.1598.R,Forereef,CONT_MR
2025.1.ANU.1601.R,Forereef,CONT_LR
2025.1.ANU.1602.R,Forereef,CONT_LR
2025.1.ANU.1603.R,Forereef,SPGR_LR
2025.1.ANU.1604.R,Lagoon,RUBB_LR
2025.1.ANU.1605.R,Lagoon,CONT_LR
2025.1.ANU.1606.R,Forereef,SPGR_HR
2025.1.ANU.1607.R,Forereef,SPGR_LR
2025.1.ANU.1611.R,Forereef,CONT_LR
2025.1.ANU.1612.R,Forereef,CONT_LR
2025.1.ANU.1613.R,Forereef,CONT_LR
2025.1.ANU.1614.R,Forereef,CONT_LR
2025.1.ANU.1615.R,Forereef,CONT_LR
2025.1.ANU.1616.R,Lagoon,CONT_LR
2025.1.ANU.1617.R,Lagoon,CONT_LR
2025.1.ANU.1618.R,Lagoon,CONT_LR
